file_name,file_path,true_label,predicted_label,mean_prob,max_prob,positive_ratio,n_windows
1.wav,data/test_resampled/low_snr_labeled/06Nov21_left/1.wav,1,1,1.0,1.0,1.0,26
11.wav,data/test_resampled/low_snr_labeled/06Nov21_left/11.wav,1,1,1.0,1.0,1.0,32
12.wav,data/test_resampled/low_snr_labeled/06Nov21_left/12.wav,1,1,0.9691141247749329,1.0,0.96875,32
13.wav,data/test_resampled/low_snr_labeled/06Nov21_left/13.wav,1,1,0.9024845957756042,1.0,0.9,20
2.wav,data/test_resampled/low_snr_labeled/06Nov21_left/2.wav,1,1,1.0,1.0,1.0,51
3.wav,data/test_resampled/low_snr_labeled/06Nov21_left/3.wav,1,1,1.0,1.0,1.0,19
32.wav,data/test_resampled/low_snr_labeled/06Nov21_left/32.wav,1,1,1.0,1.0,1.0,109
33_mixed.wav,data/test_resampled/low_snr_labeled/06Nov21_left/33_mixed.wav,1,1,0.9942430257797241,1.0,0.9935483870967742,310
37.wav,data/test_resampled/low_snr_labeled/06Nov21_left/37.wav,1,1,1.0,1.0,1.0,99
38.wav,data/test_resampled/low_snr_labeled/06Nov21_left/38.wav,1,1,0.9999735951423645,1.0,1.0,49
39.wav,data/test_resampled/low_snr_labeled/06Nov21_left/39.wav,1,1,0.9938896298408508,1.0,0.9910714285714286,112
40.wav,data/test_resampled/low_snr_labeled/06Nov21_left/40.wav,1,1,1.0,1.0,1.0,11
49.wav,data/test_resampled/low_snr_labeled/06Nov21_left/49.wav,1,1,1.0,1.0,1.0,15
50.wav,data/test_resampled/low_snr_labeled/06Nov21_left/50.wav,1,1,1.0,1.0,1.0,78
51.wav,data/test_resampled/low_snr_labeled/06Nov21_left/51.wav,1,1,0.9497318267822266,1.0,0.95,120
52.wav,data/test_resampled/low_snr_labeled/06Nov21_left/52.wav,1,1,0.9999827146530151,1.0,1.0,34
1.wav,data/test_resampled/low_snr_labeled/06Sept15_left/1.wav,1,1,0.9653091430664062,1.0,0.9719626168224299,107
10_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/10_lowsnr.wav,1,1,0.9757457375526428,1.0,0.9629629629629629,54
11_bark.wav,data/test_resampled/low_snr_labeled/06Sept15_left/11_bark.wav,1,0,0.00988791510462761,0.01977583020925522,0.0,2
12_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/12_lowsnr.wav,1,1,0.9969814419746399,1.0,1.0,28
13.wav,data/test_resampled/low_snr_labeled/06Sept15_left/13.wav,1,1,0.9155721664428711,1.0,0.9,40
14.wav,data/test_resampled/low_snr_labeled/06Sept15_left/14.wav,1,1,0.9709404110908508,1.0,0.9655172413793104,29
15_lowsnr.wav,data/test_resampled/low_snr_labeled/06Sept15_left/15_lowsnr.wav,1,1,0.9336734414100647,1.0,0.9375,16
16.wav,data/test_resampled/low_snr_labeled/06Sept15_left/16.wav,1,1,0.9980126619338989,1.0,1.0,58
17.wav,data/test_resampled/low_snr_labeled/06Sept15_left/17.wav,1,1,0.19274188578128815,0.7706436514854431,0.14285714285714285,7
18.wav,data/test_resampled/low_snr_labeled/06Sept15_left/18.wav,1,1,0.9999988079071045,1.0,1.0,26
19.wav,data/test_resampled/low_snr_labeled/06Sept15_left/19.wav,1,1,0.9863765239715576,1.0,0.9863013698630136,73
2.wav,data/test_resampled/low_snr_labeled/06Sept15_left/2.wav,1,1,0.9939533472061157,1.0,1.0,22
20.wav,data/test_resampled/low_snr_labeled/06Sept15_left/20.wav,1,1,1.0,1.0,1.0,22
21.wav,data/test_resampled/low_snr_labeled/06Sept15_left/21.wav,1,1,1.0,1.0,1.0,75
22.wav,data/test_resampled/low_snr_labeled/06Sept15_left/22.wav,1,1,0.9999930262565613,1.0,1.0,9
